Hum_Ctl,,Bov_Ctl,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
13.58095837,3.357297897,13.64681339,2.55696106,
13.83095837,3.395112991,13.89764595,2.612087727,
14.08095837,3.414487362,14.14597893,2.676104546,
14.33095837,3.534912586,14.39681339,2.737582684,
14.58095837,3.57952261,14.64764595,2.785842896,
14.83095837,3.637151718,14.89849949,2.818507195,
15.08095837,3.703146935,15.14516735,2.874383926,
15.33095837,3.75062418,15.39599991,2.921348095,
15.58095837,3.826276779,15.64683342,3.070321083,
15.83095837,3.916882038,15.89599991,3.055740356,
16.08095741,3.929645061,16.14599991,3.10830307,
16.33095741,4.023766994,16.39683342,3.198679447,
16.58095741,4.083370209,16.64766693,3.218343735,
16.83095741,4.13537693,16.89599991,3.244309902,
17.08095932,4.20624876,17.14683342,3.320959568,
17.33095932,4.219768047,17.39603996,3.362458706,
17.58095932,4.294019699,17.64687538,3.437224388,
17.83095932,4.356446266,17.89603996,3.459445,
18.08095932,4.409544945,18.14603996,3.523462296,
18.33095932,4.458629608,18.39687538,3.570693493,
18.58095932,4.500357628,18.64770889,3.689722538,
18.83095932,4.536791801,18.89603996,3.686046124,
19.08095932,4.555980682,19.14687538,3.69999361,
19.33095932,4.666059494,19.39520836,3.775007725,
19.58095932,4.736106873,19.64603996,3.82561636,
19.83095932,4.75643158,19.89856148,3.868436337,
20.08095932,4.794931412,20.14689445,3.936376095,
20.33095932,4.830442429,20.39606285,3.94857645,
20.58095932,4.874164581,20.64606285,3.984005451,
20.83095932,4.933552742,20.89689445,4.080375195,
21.08095932,4.990474701,21.14614677,4.082997799,
21.33095932,5.044881821,21.39614677,4.12399435,
21.58095932,5.016138077,21.6469593,4.206617832,
21.83095932,5.07101059,21.89612389,4.228254795,
22.08095932,5.199899673,22.1469593,4.330996037,
22.33095932,5.170483589,22.39697838,4.324395657,
22.58095932,5.215368271,22.6469593,4.386825085,
22.83095932,5.265089989,22.8978138,4.365746975,
23.08095932,5.296964645,23.1469593,4.516599178,
23.33095932,5.367602348,23.3969593,4.480418682,
23.58095932,5.390460014,23.64612389,4.54723978,
23.83095932,5.421385765,23.89612389,4.614511013,
24.08095932,5.462822914,24.14612389,4.615554333,
24.33095932,5.521883965,24.39697838,4.627133846,
24.58095932,5.546682358,24.6469593,4.671501637,
24.83095932,5.568618774,24.89697838,4.795224667,
25.08095932,5.584942818,25.1478138,4.817652225,
25.33095932,5.61030674,25.3969593,4.790431499,
25.58095932,5.658762932,25.64612389,4.836405277,
25.83095932,5.730770111,25.8978138,4.915168285,
26.08095932,5.777334213,26.1469593,4.951915264,
26.33095932,5.759807587,26.39612389,4.992698193,
26.58095932,5.838468552,26.64697838,5.040500164,
26.83095932,5.850161552,26.8969593,5.034260273,
27.08095932,5.892780304,27.14612389,5.090106487,
27.33095932,5.934836388,27.3969593,5.138678074,
27.58095932,5.936122894,27.64614677,5.129756451,
27.83095932,5.953794479,27.8969593,5.175086498,
28.08095932,6.021084785,28.14531326,5.2095294,
28.33095932,5.975479126,28.39614677,5.286608219,
28.58095932,6.080732346,28.6469593,5.244430065,
28.83095932,6.095413208,28.89531326,5.333565235,
29.08095932,6.115574837,29.14614677,5.333898067,
